address, lat_address;long_address, lat_nearby1;long_nearby2, lat_nearby2;long_nearby2, lat_nearby3;long_nearby3
1431 West Main,38.624705889810166;-88.96405309438705,38.52939462220783;-89.15126486680492,38.313652305272484;-88.94309163093567,38.30133206713776;-88.90270829628291
130 Duvick Road,41.64715463380163;-88.59959266444594,41.65863050332449;-88.44791346413919,41.68507573984795;-88.38088591150962,41.76423127860434;-88.36881787331555
1000 W. Main Street,39.40621680347352;-88.80483875536628,39.13686143103321;-88.56506643583998,39.4836008;-88.33129439999999,39.555176029271095;-89.29705314339571
996 Brook Forest Avenue,41.53826942978163;-88.19869814207777,41.576227;-88.165562,41.57787387243042;-88.1601275950834,41.55574429936104;-88.12642561821463
8329 Skokie Blvd,42.032261107764384;-87.74688810110098,42.042434;-87.799546,41.99703140096711;-87.71655593814103,42.01839337434631;-87.80624091415292
490 Randall Road,41.9771073510313;-88.3414158015512,42.02595104858424;-88.3125047644277,41.921626971299446;-88.28508687661669,41.898396061493436;-88.3353278785944
1400 North Market Street,38.14006275324775;-89.70296144485474,37.9278939294654;-89.80501033977819,37.99619588094881;-89.23604717566226,38.357515842179154;-90.15448562806341
405 Locust Street,41.788945512505826;-89.69694583251564,41.8620802493489;-89.49804065516219,41.85628106187331;-90.18603265285492,42.274039078683984;-89.63195882275619
665 S. Sutton Rd.,42.019814185836594;-88.20223597576842,42.00995049608011;-88.14510753090164,42.0468367;-88.254078,41.97278942006361;-88.20758251446715
2008 N Bloomington St,41.14373364756433;-88.83622653320339,41.38015114984622;-88.83644212596955,40.87310569954798;-88.65745165947374,41.37133789187073;-89.12657618522638
1301 Dekalb Avenue,41.981432249074885;-88.70707093435858,41.93122582781383;-88.77646085429252,41.90434488408628;-88.47159026921122,42.13561700118749;-88.43202888965607
610 N Webster St,39.555176029271095;-89.29705314339571,39.71342708112174;-89.63630281762107,39.7579753;-89.6461262,39.83321611075972;-89.6041586719274
7224 W. 191st St.,41.54604572788319;-87.79340699315071,41.5235499;-87.8506399,41.60073396103226;-87.84643827821128,41.619532771711306;-87.84852094965076
908 Edwardsville Road,38.73344817763037;-89.91594336932394,38.79278268227334;-89.95086228402269,38.69140246493201;-89.98514663062222,38.750664530000186;-90.07257346810547
1104 E. Southline,39.792081832280964;-88.2693656166143,40.0954544;-88.2455565,39.4836008;-88.33129439999999,39.484077335078304;-88.17966169020463
1003 University,40.11621919413091;-88.2211232955045,40.11040807704788;-88.23139028587913,40.13693959877484;-88.24267974327375,40.0954544;-88.2455565
2737 Veterans Avenue,38.96903264029353;-89.12936259807793,38.877352444612676;-89.39119787502217,38.624705889810166;-88.96405309438705,38.52939462220783;-89.15126486680492
906 Hawthorn Center,42.243435;-87.949649,42.239322778359394;-87.99372491240774,42.2529803750236;-87.90186483286156,42.29698063006278;-87.95606553554535
125 W Roosevelt Rd,41.86008552256605;-87.98115358509682,41.8096881;-87.9768948,41.83431605652778;-87.90027786792962,41.85959810478771;-88.07354176876206
1896 Washington Rd.,40.7053026089413;-89.44505631923676,40.62530069433705;-89.46511656045914,40.66986067406411;-89.57826554775232,40.709074297509304;-89.59449827671057
918 N Market St,38.357515842179154;-90.15448562806341,38.44643662631198;-90.2194704828137,38.47339552648474;-90.30502080917358,38.49757667152647;-90.29965393513967
1530 E Walnut St,40.775855618435834;-87.70215584895601,41.07861640512747;-87.86725719274727,40.940339529849105;-87.21557864418025,41.15874989811457;-87.88639877738206
705 W Liberty St,42.26017777677698;-88.15977669746962,42.18998322676091;-88.10922233152951,42.217112724949345;-88.25541302879999,42.27607779611406;-88.04039075033876
335 Neltnor Blvd.,41.88118474929575;-88.19404640797075,41.94137199999999;-88.15278061226849,41.921626971299446;-88.28508687661669,41.90223968514989;-88.08410651721974
832 Factory Outlet Dr.,37.89809875293721;-88.95006640167367,37.996454269770176;-88.92826153906753,37.78693461599515;-89.02815923094755,37.74205406205163;-88.96956264689432
3063 S Wolf Rd,41.83431605652778;-87.90027786792962,41.783371;-87.907452,41.78832825319039;-87.86825188656755,41.8096881;-87.9768948
13 W Ogden Avenue,41.8096881;-87.9768948,41.86008552256605;-87.98115358509682,41.75237693630584;-87.9733094573021,41.783371;-87.907452
345 Rice Lake Square,41.82956694614478;-88.09876113566091,41.85959810478771;-88.07354176876206,41.78638945332056;-88.07082304361757,41.90223968514989;-88.08410651721974
